time,S,I,R
0.0,95,5,0
1.0,0,84,16
2.0,0,72,28
3.0,0,66,34
4.0,0,62,38
5.0,0,52,48
6.0,0,49,51
7.0,0,40,60
8.0,0,37,63
9.0,0,34,66
10.0,0,28,72
11.0,0,26,74
12.0,0,23,77
13.0,0,20,80
14.0,0,19,81
15.0,0,19,81
16.0,0,15,85
17.0,0,14,86
18.0,0,14,86
19.0,0,14,86
20.0,0,13,87
21.0,0,11,89
22.0,0,9,91
23.0,0,8,92
24.0,0,8,92
25.0,0,7,93
26.0,0,7,93
27.0,0,7,93
28.0,0,6,94
29.0,0,5,95
30.0,0,5,95
31.0,0,4,96
32.0,0,3,97
33.0,0,3,97
34.0,0,3,97
35.0,0,3,97
36.0,0,3,97
37.0,0,3,97
38.0,0,2,98
39.0,0,2,98
40.0,0,2,98
41.0,0,1,99
42.0,0,1,99
43.0,0,1,99
44.0,0,1,99
45.0,0,1,99
46.0,0,1,99
47.0,0,1,99
48.0,0,1,99
49.0,0,1,99
50.0,0,0,100
51.0,0,0,100
52.0,0,0,100
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
58.0,0,0,100
59.0,0,0,100
60.0,0,0,100
61.0,0,0,100
62.0,0,0,100
63.0,0,0,100
64.0,0,0,100
65.0,0,0,100
66.0,0,0,100
67.0,0,0,100
68.0,0,0,100
69.0,0,0,100
70.0,0,0,100
71.0,0,0,100
72.0,0,0,100
73.0,0,0,100
74.0,0,0,100
75.0,0,0,100
76.0,0,0,100
77.0,0,0,100
